Date,Home Odds,Vis Odds,Home,Visitor,Home PTS,Vis PTS,Home Points Dif,Home Win
2011-10-28,1.73,2.18,St.Louis Cardinals,Texas Rangers,6.0,2.0,4.0,True
2011-10-27,1.85,1.99,St.Louis Cardinals,Texas Rangers,10.0,9.0,1.0,True
2011-10-24,1.75,2.13,Texas Rangers,St.Louis Cardinals,4.0,2.0,2.0,True
2011-10-23,1.57,2.51,Texas Rangers,St.Louis Cardinals,4.0,0.0,4.0,True
2011-10-22,1.52,2.65,Texas Rangers,St.Louis Cardinals,7.0,16.0,-9.0,False
2011-10-20,2.0,1.84,St.Louis Cardinals,Texas Rangers,1.0,2.0,-1.0,False
2011-10-19,1.78,2.1,St.Louis Cardinals,Texas Rangers,3.0,2.0,1.0,True
2011-10-16,1.76,2.11,Milwaukee Brewers,St.Louis Cardinals,6.0,12.0,-6.0,False
2011-10-15,1.63,2.36,Texas Rangers,Detroit Tigers,15.0,5.0,10.0,True
2011-10-14,1.78,2.08,St.Louis Cardinals,Milwaukee Brewers,7.0,1.0,6.0,True
2011-10-13,1.68,2.26,St.Louis Cardinals,Milwaukee Brewers,2.0,4.0,-2.0,False
2011-10-13,1.66,2.29,Detroit Tigers,Texas Rangers,7.0,5.0,2.0,True
2011-10-12,1.63,2.35,St.Louis Cardinals,Milwaukee Brewers,4.0,3.0,1.0,True
2011-10-12,2.04,1.81,Detroit Tigers,Texas Rangers,3.0,7.0,-4.0,False
2011-10-11,1.77,2.09,Detroit Tigers,Texas Rangers,5.0,2.0,3.0,True
2011-10-10,1.72,2.18,Milwaukee Brewers,St.Louis Cardinals,3.0,12.0,-9.0,False
2011-10-10,1.64,2.35,Texas Rangers,Detroit Tigers,7.0,3.0,4.0,True
2011-10-09,1.66,2.29,Milwaukee Brewers,St.Louis Cardinals,9.0,6.0,3.0,True
2011-10-08,1.95,1.9,Texas Rangers,Detroit Tigers,3.0,2.0,1.0,True
2011-10-07,1.55,2.56,Philadelphia Phillies,St.Louis Cardinals,0.0,1.0,-1.0,False
2011-10-07,1.62,2.38,Milwaukee Brewers,Arizona Diamondbacks,3.0,2.0,1.0,True
2011-10-06,1.57,2.51,New York Yankees,Detroit Tigers,2.0,3.0,-1.0,False
2011-10-05,1.93,1.9,Arizona Diamondbacks,Milwaukee Brewers,10.0,6.0,4.0,True
2011-10-05,2.02,1.83,St.Louis Cardinals,Philadelphia Phillies,5.0,3.0,2.0,True
2011-10-04,2.01,1.84,Arizona Diamondbacks,Milwaukee Brewers,8.0,1.0,7.0,True
2011-10-04,2.05,1.81,Detroit Tigers,New York Yankees,1.0,10.0,-9.0,False
2011-10-04,2.1,1.77,St.Louis Cardinals,Philadelphia Phillies,2.0,3.0,-1.0,False
2011-10-04,1.88,1.95,Tampa Bay Rays,Texas Rangers,3.0,4.0,-1.0,False
2011-10-03,1.78,2.08,Detroit Tigers,New York Yankees,5.0,4.0,1.0,True
2011-10-03,1.81,2.04,Tampa Bay Rays,Texas Rangers,3.0,4.0,-1.0,False
2011-10-02,1.53,2.61,Philadelphia Phillies,St.Louis Cardinals,4.0,5.0,-1.0,False
2011-10-02,1.58,2.48,Milwaukee Brewers,Arizona Diamondbacks,9.0,4.0,5.0,True
2011-10-02,1.66,2.3,New York Yankees,Detroit Tigers,3.0,5.0,-2.0,False
2011-10-01,1.59,2.5,New York Yankees,Detroit Tigers,9.0,3.0,6.0,True
2011-10-01,1.79,2.06,Texas Rangers,Tampa Bay Rays,8.0,6.0,2.0,True
2011-10-01,1.43,2.94,Philadelphia Phillies,St.Louis Cardinals,11.0,6.0,5.0,True
2011-10-01,1.69,2.25,Milwaukee Brewers,Arizona Diamondbacks,4.0,1.0,3.0,True
2011-09-30,1.55,2.54,Texas Rangers,Tampa Bay Rays,0.0,9.0,-9.0,False
2011-09-28,2.5,1.57,Seattle Mariners,Oakland Athletics,0.0,2.0,-2.0,False
2011-09-28,1.8,2.05,Arizona Diamondbacks,Los Angeles Dodgers,5.0,7.0,-2.0,False
2011-09-28,1.86,1.98,San Diego Padres,Chicago Cubs,9.0,2.0,7.0,True
2011-09-28,1.43,2.97,Milwaukee Brewers,Pittsburgh Pirates,7.0,3.0,4.0,True
2011-09-28,2.02,1.82,Minnesota Twins,Kansas City Royals,1.0,0.0,1.0,True
2011-09-28,2.62,1.54,Houston Astros,St.Louis Cardinals,0.0,8.0,-8.0,False
2011-09-28,2.36,1.64,Los Angeles Angels,Texas Rangers,1.0,3.0,-2.0,False
2011-09-28,1.54,2.63,Atlanta Braves,Philadelphia Phillies,3.0,4.0,-1.0,False
2011-09-28,1.39,3.13,Tampa Bay Rays,New York Yankees,8.0,7.0,1.0,True
2011-09-28,2.62,1.52,Baltimore Orioles,Boston Red Sox,4.0,3.0,1.0,True
2011-09-28,1.55,2.55,Detroit Tigers,Cleveland Indians,5.0,4.0,1.0,True
2011-09-28,2.24,1.69,Miami Marlins,Washington Nationals,1.0,3.0,-2.0,False
2011-09-28,1.72,2.2,San Francisco Giants,Colorado Rockies,3.0,6.0,-3.0,False
2011-09-28,2.16,1.74,Chicago White Sox,Toronto Blue Jays,2.0,3.0,-1.0,False
2011-09-28,2.02,1.83,New York Mets,Cincinnati Reds,3.0,0.0,3.0,True
2011-09-27,1.5,2.69,San Francisco Giants,Colorado Rockies,7.0,0.0,7.0,True
2011-09-27,1.93,1.9,Seattle Mariners,Oakland Athletics,0.0,7.0,-7.0,False
2011-09-27,2.24,1.7,Los Angeles Angels,Texas Rangers,3.0,10.0,-7.0,False
2011-09-27,2.05,1.8,San Diego Padres,Chicago Cubs,2.0,6.0,-4.0,False
2011-09-27,1.9,1.93,Arizona Diamondbacks,Los Angeles Dodgers,7.0,6.0,1.0,True
2011-09-27,1.92,1.91,Chicago White Sox,Toronto Blue Jays,2.0,1.0,1.0,True
2011-09-27,1.5,2.7,Milwaukee Brewers,Pittsburgh Pirates,6.0,4.0,2.0,True
2011-09-27,1.89,1.94,Minnesota Twins,Kansas City Royals,7.0,4.0,3.0,True
2011-09-27,2.62,1.53,Houston Astros,St.Louis Cardinals,6.0,13.0,-7.0,False
2011-09-27,1.91,1.92,Atlanta Braves,Philadelphia Phillies,1.0,7.0,-6.0,False
2011-09-27,1.61,2.4,Miami Marlins,Washington Nationals,3.0,2.0,1.0,True
2011-09-27,1.83,2.02,New York Mets,Cincinnati Reds,4.0,5.0,-1.0,False
2011-09-27,1.51,2.65,Tampa Bay Rays,New York Yankees,5.0,3.0,2.0,True
2011-09-27,2.39,1.61,Baltimore Orioles,Boston Red Sox,7.0,8.0,-1.0,False
2011-09-27,1.56,2.53,Detroit Tigers,Cleveland Indians,9.0,6.0,3.0,True
2011-09-26,1.75,2.13,San Francisco Giants,Colorado Rockies,3.0,1.0,2.0,True
2011-09-26,2.15,1.74,Seattle Mariners,Oakland Athletics,4.0,2.0,2.0,True
2011-09-26,1.82,2.03,Los Angeles Angels,Texas Rangers,3.0,4.0,-1.0,False
2011-09-26,1.53,2.59,San Diego Padres,Chicago Cubs,2.0,0.0,2.0,True
2011-09-26,1.56,2.52,Arizona Diamondbacks,Los Angeles Dodgers,2.0,4.0,-2.0,False
2011-09-26,1.77,2.1,Chicago White Sox,Toronto Blue Jays,4.0,3.0,1.0,True
2011-09-26,1.5,2.69,Milwaukee Brewers,Pittsburgh Pirates,8.0,9.0,-1.0,False
2011-09-26,2.14,1.75,Minnesota Twins,Kansas City Royals,3.0,7.0,-4.0,False
2011-09-26,2.32,1.64,Houston Astros,St.Louis Cardinals,5.0,4.0,1.0,True
2011-09-26,0.0,0.0,Miami Marlins,Washington Nationals,4.0,6.0,-2.0,False
2011-09-26,2.24,1.69,Atlanta Braves,Philadelphia Phillies,2.0,4.0,-2.0,False
2011-09-26,2.03,1.82,New York Mets,Cincinnati Reds,5.0,6.0,-1.0,False
2011-09-26,1.43,2.92,Tampa Bay Rays,New York Yankees,5.0,2.0,3.0,True
2011-09-26,2.77,1.47,Baltimore Orioles,Boston Red Sox,6.0,3.0,3.0,True
2011-09-26,1.66,2.29,Detroit Tigers,Cleveland Indians,14.0,0.0,14.0,True
2011-09-25,1.67,2.3,New York Yankees,Boston Red Sox,4.0,7.0,-3.0,False
2011-09-25,2.11,1.76,Arizona Diamondbacks,San Francisco Giants,5.0,2.0,3.0,True
2011-09-25,2.21,1.71,San Diego Padres,Los Angeles Dodgers,2.0,6.0,-4.0,False
2011-09-25,1.86,1.97,Los Angeles Angels,Oakland Athletics,5.0,6.0,-1.0,False
2011-09-25,1.44,2.89,Texas Rangers,Seattle Mariners,12.0,5.0,7.0,True
2011-09-25,1.49,2.72,St.Louis Cardinals,Chicago Cubs,3.0,2.0,1.0,True
2011-09-25,1.69,2.24,Chicago White Sox,Kansas City Royals,1.0,2.0,-1.0,False
2011-09-25,1.7,2.22,Milwaukee Brewers,Miami Marlins,9.0,5.0,4.0,True
2011-09-25,2.69,1.5,New York Mets,Philadelphia Phillies,4.0,9.0,-5.0,False
2011-09-25,1.94,1.89,Houston Astros,Colorado Rockies,3.0,19.0,-16.0,False
2011-09-25,1.6,2.44,Tampa Bay Rays,Toronto Blue Jays,5.0,2.0,3.0,True
2011-09-25,1.79,2.07,Pittsburgh Pirates,Cincinnati Reds,4.0,5.0,-1.0,False
2011-09-25,1.99,1.85,Washington Nationals,Atlanta Braves,3.0,0.0,3.0,True
2011-09-25,1.57,2.5,Cleveland Indians,Minnesota Twins,4.0,6.0,-2.0,False
2011-09-25,1.64,2.35,Detroit Tigers,Baltimore Orioles,10.0,6.0,4.0,True
2011-09-25,1.89,1.93,New York Yankees,Boston Red Sox,6.0,2.0,4.0,True
2011-09-24,1.69,2.25,Los Angeles Angels,Oakland Athletics,4.0,2.0,2.0,True
2011-09-24,1.93,1.9,San Diego Padres,Los Angeles Dodgers,3.0,0.0,3.0,True
2011-09-24,1.54,2.63,Arizona Diamondbacks,San Francisco Giants,15.0,2.0,13.0,True
2011-09-24,1.74,2.15,Chicago White Sox,Kansas City Royals,6.0,3.0,3.0,True
2011-09-24,1.5,2.71,Milwaukee Brewers,Miami Marlins,6.0,4.0,2.0,True
2011-09-24,2.02,1.84,New York Mets,Philadelphia Phillies,6.0,3.0,3.0,True
2011-09-24,1.69,2.24,Tampa Bay Rays,Toronto Blue Jays,6.0,2.0,4.0,True
2011-09-24,1.71,2.23,Cleveland Indians,Minnesota Twins,7.0,6.0,1.0,True
2011-09-24,1.37,3.25,Detroit Tigers,Baltimore Orioles,5.0,6.0,-1.0,False
2011-09-24,1.79,2.08,Houston Astros,Colorado Rockies,2.0,4.0,-2.0,False
