,Home Odds,Vis Odds,Home Win,Prev Predictions,Current Predictions,Ensemble,Prev Predictions Home Outcome,Prev Predictions Vis Outcome,Current Predictions Home Outcome,Current Predictions Vis Outcome,Ensemble Home Outcome,Ensemble Vis Outcome
87371,1.91,1.94,False,0.55469257,0.5731962,0.56394434,-1.0,0.0,0.0,0.0,0.0,0.0
87372,1.89,1.96,True,0.54648995,0.58543295,0.5659615,0.8899999999999999,0.0,0.0,0.0,0.0,0.0
87373,1.87,1.97,True,0.54525054,0.5267788,0.5360147,0.8700000000000001,0.0,0.0,0.0,0.0,0.0
87374,1.78,2.09,True,0.4949473,0.53867865,0.516813,0.78,0.0,0.0,0.0,0.0,0.0
87375,2.23,1.7,False,0.5380422,0.5416175,0.53982985,-1.0,0.0,0.0,0.0,0.0,0.0
87376,1.59,2.47,False,0.5820265,0.60543466,0.59373057,-1.0,0.0,1.4700000000000002,-1.0,1.4700000000000002,-1.0
87377,1.66,2.3,True,0.5189822,0.53806293,0.52852255,0.6599999999999999,0.0,0.0,0.0,0.0,0.0
87378,2.03,1.82,True,0.5031549,0.5436402,0.52339756,1.0299999999999998,0.0,0.0,0.0,0.0,0.0
87379,2.26,1.68,True,0.5057551,0.50048023,0.5031177,1.2599999999999998,0.0,0.0,0.0,0.0,0.0
87380,1.7,2.22,True,0.51137716,0.5544654,0.5329213,0.7,0.0,0.0,0.0,0.0,0.0
87381,1.89,1.96,True,0.49362022,0.52545506,0.50953764,0.8899999999999999,0.0,0.0,0.0,0.0,0.0
87382,1.66,2.31,True,0.46440613,0.5541502,0.5092782,0.6599999999999999,0.0,0.0,0.0,0.0,0.0
87383,1.89,1.95,True,0.44297117,0.49882826,0.4708997,0.0,-1.0,0.0,0.0,0.0,0.0
87384,1.61,2.41,False,0.5984181,0.580205,0.5893116,-1.0,0.0,0.0,0.0,0.0,0.0
87385,1.85,2.0,False,0.47856343,0.48351648,0.48103994,-1.0,0.0,0.0,0.0,0.0,0.0
87386,1.96,1.89,False,0.5736946,0.5403321,0.55701333,-1.0,0.0,0.0,0.0,0.0,0.0
87387,1.81,2.05,True,0.46790972,0.45028132,0.45909554,0.81,0.0,0.0,0.0,0.0,0.0
87388,2.2,1.71,True,0.49766544,0.5215713,0.50961834,1.2000000000000002,0.0,0.0,0.0,0.0,0.0
87389,2.03,1.83,True,0.53804207,0.5416175,0.5398298,1.0299999999999998,0.0,0.0,0.0,0.0,0.0
87390,1.76,2.13,True,0.49689275,0.5441922,0.5205425,0.76,0.0,0.0,0.0,0.0,0.0
87391,2.56,1.55,True,0.5272237,0.5393158,0.53326976,1.56,0.0,0.0,0.0,0.0,0.0
87392,2.53,1.56,False,0.50137097,0.47648484,0.4889279,-1.0,0.0,0.0,0.0,0.0,0.0
